Date,Site Name,Weeds,Desirable Vegetation,Bare Ground and Litter
2015,Babb,28.5,47,24.5
2016,Babb,29,11.5,59.5
2017,Babb,8,18,74
2018,Babb,19,34,47
2019,Babb,9,40,51
2015,Bartkoske,26,22.5,51.5
2016,Bartkoske,28,26,46
2017,Bartkoske,18,10,72
2018,Bartkoske,20,8.5,71.5
2019,Bartkoske,12,20.5,67.5
2015,Bynum Reservoir,17,27.5,55.5
2016,Bynum Reservoir,5.5,10.5,84
2017,Bynum Reservoir,13.5,26,60.5
2018,Bynum Reservoir,19.5,26.5,54
2019,Bynum Reservoir,6,13.5,80.5
2015,Dearborn 1,21.5,25.5,53
2016,Dearborn 1,9.5,10.5,80
2017,Dearborn 1,10,27.5,62.5
2018,Dearborn 1,18.8,24.4,56.8
2019,Dearborn 1,12.5,21,66.5
2015,EG2,27,43,30
2016,EG2,27.5,15,57.5
2017,EG2,12,14.5,73.5
2018,EG2,17,27,56
2019,EG2,17.5,36,46.5
2015,Heart Butte,42,40.5,17.5
2016,Heart Butte,32.5,36.5,31
2017,Heart Butte,20.5,25.5,54
2018,Heart Butte,15,57,28
2019,Heart Butte,20.5,46,33.5
2015,S Fk Teton,18.5,39.5,42
2016,S Fk Teton,21,32,47
2017,S Fk Teton,18.5,51,30.5
2018,S Fk Teton,27.2,32.7,40.1
2019,S Fk Teton,14.5,52,33.5
2015,Young 1,11,25.5,63.5
2016,Young 1,7,51,42
2017,Young 1,10,42,48
2018,Young 1,17.5,38,44.5
2019,Young 1,7.5,37,55.5
